#options: 640x480 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:141 out:138 type:P dur:2 cpbdur:2 q:29.26 aq:18.82 tex:1726 mv:722 misc:256 imb:19 pmb:42 smb:1139 d:- ref:0 ;
in:139 out:139 type:B dur:2 cpbdur:2 q:29.26 aq:21.81 tex:207 mv:575 misc:266 imb:3 pmb:38 smb:1159 d:- ref:0 ;
in:138 out:140 type:b dur:2 cpbdur:2 q:29.26 aq:20.21 tex:140 mv:392 misc:244 imb:0 pmb:31 smb:1169 d:- ref:0 ;
in:140 out:141 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:18 mv:377 misc:237 imb:0 pmb:29 smb:1171 d:- ref:0 ;
in:145 out:142 type:P dur:2 cpbdur:2 q:29.26 aq:15.68 tex:1439 mv:703 misc:274 imb:20 pmb:40 smb:1140 d:- ref:0 ;
in:143 out:143 type:B dur:2 cpbdur:2 q:29.26 aq:19.23 tex:224 mv:581 misc:259 imb:0 pmb:47 smb:1153 d:- ref:0 ;
in:142 out:144 type:b dur:2 cpbdur:2 q:29.26 aq:19.67 tex:101 mv:482 misc:241 imb:0 pmb:38 smb:1162 d:- ref:0 ;
in:144 out:145 type:b dur:2 cpbdur:2 q:29.26 aq:25.50 tex:64 mv:383 misc:241 imb:0 pmb:35 smb:1165 d:- ref:0 ;
in:148 out:146 type:P dur:2 cpbdur:2 q:29.26 aq:15.61 tex:1337 mv:695 misc:256 imb:17 pmb:44 smb:1139 d:- ref:0 ;
in:146 out:147 type:B dur:2 cpbdur:2 q:29.26 aq:20.17 tex:94 mv:497 misc:273 imb:0 pmb:39 smb:1161 d:- ref:0 ;
in:147 out:148 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:14 mv:390 misc:228 imb:0 pmb:31 smb:1169 d:- ref:0 ;
in:151 out:149 type:P dur:2 cpbdur:2 q:29.26 aq:15.73 tex:1434 mv:644 misc:282 imb:13 pmb:41 smb:1146 d:- ref:0 ;
in:149 out:150 type:B dur:2 cpbdur:2 q:29.26 aq:24.32 tex:64 mv:449 misc:255 imb:0 pmb:34 smb:1166 d:- ref:0 ;
in:150 out:151 type:b dur:2 cpbdur:2 q:29.26 aq:23.47 tex:153 mv:354 misc:221 imb:0 pmb:30 smb:1170 d:- ref:0 ;
in:155 out:152 type:P dur:2 cpbdur:2 q:29.26 aq:22.01 tex:1807 mv:676 misc:237 imb:25 pmb:41 smb:1134 d:- ref:0 ;
in:153 out:153 type:B dur:2 cpbdur:2 q:29.26 aq:21.96 tex:327 mv:522 misc:255 imb:0 pmb:45 smb:1155 d:- ref:0 ;
