#options: 640x480 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:97 out:99 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:29.26 aq:22.96 tex:2834 mv:529 misc:261 imb:23 pmb:29 smb:1148 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:29.26 aq:22.44 tex:275 mv:449 misc:260 imb:1 pmb:26 smb:1173 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:29.26 aq:23.67 tex:52 mv:33 misc:163 imb:0 pmb:3 smb:1197 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:29.26 aq:23.36 tex:60 mv:202 misc:194 imb:0 pmb:14 smb:1186 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:29.26 aq:23.91 tex:3292 mv:738 misc:266 imb:32 pmb:35 smb:1133 d:- ref:0 w:7,117,1 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:29.26 aq:23.58 tex:450 mv:696 misc:238 imb:2 pmb:39 smb:1159 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:29.26 aq:21.83 tex:63 mv:71 misc:162 imb:0 pmb:4 smb:1196 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:29.26 aq:21.40 tex:179 mv:331 misc:210 imb:1 pmb:24 smb:1175 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:29.26 aq:24.26 tex:3501 mv:679 misc:228 imb:44 pmb:25 smb:1131 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:29.26 aq:23.13 tex:644 mv:900 misc:232 imb:5 pmb:53 smb:1142 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:29.26 aq:17.06 tex:95 mv:419 misc:222 imb:2 pmb:22 smb:1176 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:29.26 aq:22.89 tex:220 mv:433 misc:227 imb:1 pmb:29 smb:1170 d:- ref:0 ;
in:115 out:113 type:P dur:2 cpbdur:2 q:29.26 aq:17.15 tex:2884 mv:657 misc:243 imb:44 pmb:31 smb:1125 d:- ref:0 ;
in:113 out:114 type:B dur:2 cpbdur:2 q:29.26 aq:17.68 tex:605 mv:650 misc:265 imb:4 pmb:34 smb:1162 d:- ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:29.26 aq:24.43 tex:125 mv:483 misc:264 imb:0 pmb:34 smb:1166 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:29.26 aq:21.88 tex:2002 mv:655 misc:247 imb:21 pmb:46 smb:1133 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:29.26 aq:15.70 tex:1688 mv:730 misc:278 imb:25 pmb:43 smb:1132 d:- ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:29.26 aq:24.10 tex:488 mv:488 misc:280 imb:3 pmb:38 smb:1159 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:29.26 aq:17.75 tex:287 mv:522 misc:263 imb:6 pmb:33 smb:1161 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:29.26 aq:23.37 tex:168 mv:424 misc:240 imb:2 pmb:35 smb:1163 d:- ref:0 ;
in:121 out:121 type:I dur:2 cpbdur:2 q:26.35 aq:6.80 tex:4675 mv:1666 misc:387 imb:1200 pmb:0 smb:0 d:- ref:;
in:125 out:122 type:P dur:2 cpbdur:2 q:29.26 aq:19.17 tex:1673 mv:676 misc:259 imb:21 pmb:39 smb:1140 d:- ref:0 ;
in:123 out:123 type:B dur:2 cpbdur:2 q:29.26 aq:22.81 tex:121 mv:608 misc:231 imb:0 pmb:46 smb:1154 d:- ref:0 ;
in:122 out:124 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:24 mv:421 misc:251 imb:1 pmb:34 smb:1165 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:19 mv:422 misc:231 imb:1 pmb:34 smb:1165 d:- ref:0 ;
in:129 out:126 type:P dur:2 cpbdur:2 q:29.26 aq:19.73 tex:1859 mv:756 misc:241 imb:25 pmb:41 smb:1134 d:- ref:0 ;
