#options: 640x480 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:67 out:68 type:b dur:2 cpbdur:2 q:29.26 aq:15.52 tex:82 mv:369 misc:253 imb:1 pmb:25 smb:1174 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:29.26 aq:17.31 tex:3841 mv:1307 misc:340 imb:11 pmb:112 smb:1077 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:29.26 aq:19.27 tex:256 mv:710 misc:330 imb:2 pmb:49 smb:1149 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:29.26 aq:22.75 tex:119 mv:260 misc:229 imb:1 pmb:16 smb:1183 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:29.26 aq:22.23 tex:138 mv:265 misc:229 imb:0 pmb:18 smb:1182 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:29.26 aq:12.61 tex:4417 mv:1320 misc:359 imb:22 pmb:111 smb:1067 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:29.26 aq:22.17 tex:491 mv:683 misc:298 imb:1 pmb:50 smb:1149 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:29.26 aq:20.91 tex:229 mv:292 misc:215 imb:1 pmb:19 smb:1180 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:16 mv:347 misc:237 imb:0 pmb:24 smb:1176 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:29.26 aq:19.44 tex:4441 mv:1239 misc:368 imb:22 pmb:103 smb:1075 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:29.26 aq:22.22 tex:560 mv:806 misc:322 imb:1 pmb:53 smb:1146 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:29.26 aq:21.90 tex:136 mv:295 misc:217 imb:1 pmb:16 smb:1183 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:29.26 aq:22.12 tex:63 mv:312 misc:217 imb:0 pmb:22 smb:1178 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:29.26 aq:12.25 tex:4683 mv:1624 misc:349 imb:59 pmb:122 smb:1019 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:29.26 aq:22.35 tex:449 mv:1037 misc:362 imb:0 pmb:72 smb:1128 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:18 mv:273 misc:213 imb:0 pmb:18 smb:1182 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:29.26 aq:20.72 tex:85 mv:341 misc:246 imb:0 pmb:25 smb:1175 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:29.26 aq:20.52 tex:4993 mv:1644 misc:307 imb:42 pmb:114 smb:1044 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:29.26 aq:23.82 tex:352 mv:906 misc:334 imb:0 pmb:66 smb:1134 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:29.26 aq:20.40 tex:128 mv:381 misc:251 imb:0 pmb:32 smb:1168 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:20 mv:460 misc:272 imb:0 pmb:39 smb:1161 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:29.26 aq:14.55 tex:6143 mv:1671 misc:290 imb:31 pmb:112 smb:1057 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:29.26 aq:21.41 tex:493 mv:1229 misc:334 imb:4 pmb:79 smb:1117 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:29.26 aq:17.42 tex:102 mv:589 misc:309 imb:1 pmb:42 smb:1157 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:29.26 aq:17.05 tex:162 mv:586 misc:308 imb:2 pmb:48 smb:1150 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:29.26 aq:18.29 tex:5653 mv:1656 misc:291 imb:31 pmb:109 smb:1060 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:29.26 aq:16.10 tex:373 mv:1365 misc:358 imb:2 pmb:89 smb:1109 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:21 mv:489 misc:282 imb:0 pmb:36 smb:1164 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:29.26 aq:22.78 tex:136 mv:498 misc:278 imb:0 pmb:40 smb:1160 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:29.26 aq:15.96 tex:4111 mv:1385 misc:264 imb:17 pmb:109 smb:1074 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:29.26 aq:17.40 tex:245 mv:857 misc:346 imb:2 pmb:58 smb:1140 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:29.26 aq:20.06 tex:67 mv:523 misc:290 imb:1 pmb:39 smb:1160 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:19 mv:482 misc:283 imb:0 pmb:39 smb:1161 d:- ref:0 ;
